Day,DateKey,WeekOfMonth,DayLabel
1,1,1,Day 1
2,2,1,Day 2
3,3,1,Day 3
4,4,1,Day 4
5,5,1,Day 5
6,6,1,Day 6
7,7,1,Day 7
8,8,2,Day 8
9,9,2,Day 9
10,10,2,Day 10
11,11,2,Day 11
12,12,2,Day 12
13,13,2,Day 13
14,14,2,Day 14
15,15,3,Day 15
16,16,3,Day 16
17,17,3,Day 17
18,18,3,Day 18
19,19,3,Day 19
20,20,3,Day 20
21,21,3,Day 21
22,22,4,Day 22
23,23,4,Day 23
24,24,4,Day 24
25,25,4,Day 25
26,26,4,Day 26
27,27,4,Day 27
28,28,4,Day 28
29,29,5,Day 29
30,30,5,Day 30
31,31,5,Day 31
32,32,5,Day 32
33,33,5,Day 33
34,34,5,Day 34
35,35,5,Day 35
36,36,6,Day 36
37,37,6,Day 37
38,38,6,Day 38
39,39,6,Day 39
40,40,6,Day 40
41,41,6,Day 41
42,42,6,Day 42
43,43,7,Day 43
44,44,7,Day 44
45,45,7,Day 45
46,46,7,Day 46
47,47,7,Day 47
48,48,7,Day 48
49,49,7,Day 49
50,50,8,Day 50
51,51,8,Day 51
52,52,8,Day 52
53,53,8,Day 53
54,54,8,Day 54
55,55,8,Day 55
56,56,8,Day 56
57,57,9,Day 57
58,58,9,Day 58
59,59,9,Day 59
60,60,9,Day 60
61,61,9,Day 61
62,62,9,Day 62
63,63,9,Day 63
64,64,10,Day 64
65,65,10,Day 65
66,66,10,Day 66
67,67,10,Day 67
68,68,10,Day 68
69,69,10,Day 69
70,70,10,Day 70
71,71,11,Day 71
72,72,11,Day 72
73,73,11,Day 73
74,74,11,Day 74
75,75,11,Day 75
76,76,11,Day 76
77,77,11,Day 77
78,78,12,Day 78
79,79,12,Day 79
80,80,12,Day 80
81,81,12,Day 81
82,82,12,Day 82
83,83,12,Day 83
84,84,12,Day 84
85,85,13,Day 85
86,86,13,Day 86
87,87,13,Day 87
88,88,13,Day 88
89,89,13,Day 89
90,90,13,Day 90
91,91,13,Day 91
92,92,14,Day 92
93,93,14,Day 93
94,94,14,Day 94
95,95,14,Day 95
96,96,14,Day 96
97,97,14,Day 97
98,98,14,Day 98
99,99,15,Day 99
100,100,15,Day 100
101,101,15,Day 101
102,102,15,Day 102
103,103,15,Day 103
104,104,15,Day 104
105,105,15,Day 105
106,106,16,Day 106
107,107,16,Day 107
108,108,16,Day 108
109,109,16,Day 109
110,110,16,Day 110
111,111,16,Day 111
112,112,16,Day 112
113,113,17,Day 113
114,114,17,Day 114
115,115,17,Day 115
116,116,17,Day 116
117,117,17,Day 117
118,118,17,Day 118
119,119,17,Day 119
120,120,18,Day 120
121,121,18,Day 121
122,122,18,Day 122
123,123,18,Day 123
124,124,18,Day 124
125,125,18,Day 125
126,126,18,Day 126
127,127,19,Day 127
128,128,19,Day 128
129,129,19,Day 129
130,130,19,Day 130
131,131,19,Day 131
132,132,19,Day 132
133,133,19,Day 133
134,134,20,Day 134
